Central Pollution Control Board,,,,
LIST OF AQI STATIONS          Date - Time:08-09-2024 21:00:00,,,,
,,,,
S.No.,State,City,Station Name,Current AQI value
1,Andhra Pradesh,Amaravati,"Secretariat, Amaravati - APPCB",36.00
2,,Anantapur,"Gulzarpet, Anantapur - APPCB",43.00
3,,Chittoor,"Gangineni Cheruvu, Chittoor - APPCB",83.00
4,,Kadapa,"Yerramukkapalli, Kadapa - APPCB",Insufficient data available in last 24 hours.
5,,Rajamahendravaram,"Anand Kala Kshetram, Rajamahendravaram - APPCB",33.00
6,,Tirupati,"Tirumala, Tirupati - APPCB",34.00
7,,,"Vaikuntapuram, Tirupati - APPCB",Insufficient data available in last 24 hours.
8,,Vijayawada,"HB Colony, Vijayawada - APPCB",Insufficient data available in last 24 hours.
9,,,"Kanuru, Vijayawada - APPCB",Insufficient data available in last 24 hours.
10,,,"Rajiv Gandhi Park, Vijayawada - APPCB",46.00
11,,,"Rajiv Nagar, Vijayawada - APPCB",Insufficient data available in last 24 hours.
12,,Visakhapatnam,"GVM Corporation, Visakhapatnam - APPCB",72.00
13,Arunachal Pradesh,Naharlagun,"Naharlagun, Naharlagun - APSPCB",Insufficient data available in last 24 hours.
14,Assam,Byrnihat,"Central Academy for SFS, Byrnihat - PCBA",179.00
15,,Guwahati,"IITG, Guwahati - PCBA",Insufficient data available in last 24 hours.
16,,,"LGBI Airport, Guwahati - PCBA",88.00
17,,,"Pan Bazaar, Guwahati - PCBA",Insufficient data available in last 24 hours.
18,,,"Railway Colony, Guwahati - PCBA",53.00
19,,Nagaon,"Christianpatty, Nagaon - PCBA",77.00
20,,Nalbari,"Bata Chowk, Nalbari - PCBA",Insufficient data available in last 24 hours.
21,,Silchar,"Tarapur, Silchar - PCBA",62.00
22,,Sivasagar,"Girls College, Sivasagar - PCBA",73.00
23,Bihar,Araria,"Kharahiya Basti, Araria - BSPCB",67.00
24,,Arrah,"New DM Office, Arrah - BSPCB",Insufficient data available in last 24 hours.
25,,Aurangabad,"Gurdeo Nagar, Aurangabad - BSPCB",Insufficient data available in last 24 hours.
26,,Begusarai,"Lohiyanagar, Begusarai - BSPCB (Formerly known as DRCC Anandpur)",103.00
